Date,Price,Open,High,Low,Vol.,Change %,Declarations,Chinese Declarations
Mar-16,17516.56,16583.34,17648.8,16577.38,-,6.05%,,
Feb-16,16516.5,16453.63,16795.98,15503.01,2.49B,0.30%,214,30
Jan-16,16466.3,17405.48,17405.48,15450.56,2.84B,-5.50%,324,65
Dec-15,17425.03,17719.72,17901.58,17116.73,2.52B,-1.66%,364,71
Nov-15,17719.92,17672.62,17977.85,17210.43,2.30B,0.32%,340,47
Oct-15,17663.54,16278.62,17799.96,16013.66,2.61B,8.47%,321,51
Sep-15,16284.7,16528.03,16933.43,15942.37,2.72B,-1.47%,360,44
Aug-15,16528.03,17696.74,17704.76,15370.33,2.73B,-6.57%,350,66
Jul-15,17689.86,17638.12,18137.12,17399.17,2.03B,0.40%,390,85
Jun-15,17619.51,18017.82,18188.81,17576.5,2.22B,-2.17%,390,68
May-15,18010.68,17859.27,18351.36,17733.12,1.83B,0.95%,320,66
Apr-15,17840.52,17778.52,18175.56,17585.01,2.17B,0.36%,295,41
Mar-15,17776.12,18134.05,18288.63,17579.27,2.47B,-1.97%,343,44
Feb-15,18132.7,17169.99,18244.38,17037.76,1.75B,5.64%,259,33
Jan-15,17164.95,17823.07,17951.78,17136.3,2.17B,-3.69%,280,62
Dec-14,17823.07,17827.27,18103.45,17067.59,2.22B,-0.03%,338,71
Nov-14,17828.24,17390.9,17894.83,17278.36,1.52B,2.52%,306,59
Oct-14,17390.52,17040.46,17395.54,15855.12,2.31B,2.04%,331,35
Sep-14,17042.9,17097.42,17350.64,16934.43,1.87B,-0.32%,326,50
Aug-14,17098.45,16561.7,17153.8,16333.78,1.48B,3.23%,265,56
Jul-14,16563.3,16828.53,17151.56,16563.3,1.69B,-1.56%,287,51
Jun-14,16826.6,16716.85,16978.02,16673.65,1.76B,0.65%,272,35
May-14,16717.17,16580.26,16735.51,16341.3,1.64B,0.82%,201,28
Apr-14,16580.84,16458.05,16631.63,16015.32,1.99B,0.75%,213,31
Mar-14,16457.66,16321.71,16505.7,16046.99,2.10B,0.83%,179,41
Feb-14,16321.71,15697.69,16398.95,15340.69,2.07B,3.97%,67,6
